pop_size,t_max,file_name,RMSE,K,WUM,WLM,C,WDM,B,IMP,SM,EX,KG,KSS,KKG,KKSS,CS,L,U
50,300,Qr_2.pkl,159.4921191,0.485522019,16.5253151,77.488052,4.409782708,97.01492355,1.953343303,0.197506485,9.265114292,2.713956114,0.381838435,0.131199072,0.984561052,0.608028199,0.451280251,0.065584277,38.6
60,300,Qr_2.pkl,183.6218256,1.535175634,12.37449263,37.47956786,45.52893612,72.10705893,0.17842494,0.142536088,12.17639698,1.881933042,0.526648762,0.12468337,0.967523759,0.504560991,0.200222785,3.045289468,38.6
70,300,Qr_2.pkl,184.0890435,2.944065676,13.61442915,74.91991943,37.14016541,30.80846583,0.954568621,0.017146214,66.72426527,0.462599567,0.249281289,0.164705344,0.90151973,0.58896176,0.385384686,5.273018586,38.6
70,300,Qr_4.pkl,149.5442623,2.410211493,3.415265358,17.6445204,8.553100681,80.04712058,0.068031861,0.084137852,40.25135044,1.184081545,0.572426527,0.189120151,0.989087008,0.806304209,0.178542436,0.697500534,109.8
70,300,Qr_4.pkl,146.613937,1.33772393,10.79293191,86.41306803,49.37804498,20.95287942,1.039133885,0.035993377,32.15546129,1.705014191,0.467656484,0.11028779,0.923421369,0.812689596,0.135328227,6.383678701,109.8
80,300,Qr_4.pkl,152.2467343,1.630671102,16.1907712,93.45881527,12.41440474,25.85650197,0.399032563,0.042075411,59.16397595,0.334446242,0.107492294,0.124982452,0.981754234,0.875152745,0.210208441,6.542832728,109.8
80,300,Qr_4.pkl,150.1301345103998,0.7426252021851252,21.635517441328165,4.740409558397168,28.83371227149266,80.32508316293833,1.8756813257240517,0.1282891323587756,18.891628772850733,1.5042878505813775,0.45471663563951537,0.1163457136753441,0.9456130558183539,0.9756590472121341,0.7618366039002655,1.9401837214270454,109.8
80,300,Qr_4.pkl,153.60808698480193,2.832639545884579,17.86703085421308,88.04760887478255,22.923615222632527,34.93560594500565,1.4084002197332681,0.013402966399121068,45.09793389690847,0.6448286385692922,0.306228827784051,0.10635090182195502,0.9437035737174596,0.571315958128605,0.20737632374034853,4.624225592822047,109.8
80,300,Qr_5.pkl,83.40485010421895,1.8549394207586902,20.287606433301796,30.46403393658254,39.922194586016424,88.39506210516679,1.2684301278725547,0.17467802972502824,43.850581377605515,1.2377147740104375,0.5519638660847804,0.15823236793115025,0.9195480208746605,0.5456996368297372,0.20295724356822414,0.1781670583208716,126
90,300,Qr_5.pkl,83.57142259187724,1.1250495925778985,6.450941496017334,86.15323343607898,33.80935239722891,55.193639942625204,0.9856334116641743,0.10570467238380078,61.746757408368175,2.7128940702536086,0.3855159154026917,0.17258522293771172,0.9537918027283547,0.6309228797265541,0.6418378246406445,0.8374279000213629,126
50,300,Qr_5.pkl,69.65929713597231,1.2505478072450942,26.10141300698874,87.56117435224463,14.702528458510088,27.222144230475784,1.412923062837611,0.031464583269753106,75.37003692739647,2.98415784173101,0.13874324777977845,0.17318033387249368,0.9529065523239845,0.6129480880153814,0.8334208197271645,3.479384746848964,126
50,400,Qr_5.pkl,58.55120422414677,1.8741447187719353,18.026337473677785,47.029999694814904,14.271123386333814,80.72389904477065,0.7699056978057192,0.040296029541917175,13.192846461378826,1.696340830713828,0.32135074922940765,0.1815149388103885,0.9583328653828547,0.9113715018158512,0.6702078310495315,4.482375560777611,126
50,400,Qr_5.pkl,75.04547579185659,1.1221289712210456,7.104098635822626,59.9945371868038,25.775766777550587,94.64619891964476,0.8539353617969299,0.017437818536942658,61.53965880306406,0.33232215338602866,0.2888637958922086,0.19184545426801355,0.9986072267830439,0.8682589190343943,0.11977599414044618,1.1980346079897457,126
50,500,Qr_5.pkl,69.18859184546446,0.9381298257393109,13.106418042542803,9.656117435224463,39.47554551835688,40.28940702536088,0.11468855861079745,0.16215094454786827,33.77178258613849,2.413751640369884,0.49297158726767787,0.12654194769127478,0.9182730185857723,0.508209784234138,0.8578112125003815,2.7538987395855585,126
